cluster,avg_latitude,avg_longitude,accident_count,tier
9,48.82420320239033,2.296229495893551,18699,Tier 2 (Danger moyen)
15,45.843951293411756,4.844940279671913,6683,Tier 2 (Danger moyen)
6,43.580488568009905,5.082816085683354,3827,Tier 1 (Moins dangereux)
17,48.12885727601029,-0.015445437909403385,3520,Tier 2 (Danger moyen)
11,48.05939071727441,-2.6603312923459197,3334,Tier 3 (Plus dangereux)
13,45.471437597774106,-0.13409051200467784,2950,Tier 1 (Moins dangereux)
14,43.68388083340123,2.2050413895943044,2721,Tier 3 (Plus dangereux)
0,48.3619931191603,6.766811572452639,2648,Tier 3 (Plus dangereux)
7,50.41011457568612,2.8001898234526177,2138,Tier 3 (Plus dangereux)
19,43.724786588371636,6.667633885256943,1844,Tier 2 (Danger moyen)
18,48.59814844266729,4.094114225390237,1711,Tier 3 (Plus dangereux)
8,43.56639844661994,-0.5820227558288747,1697,Tier 2 (Danger moyen)
2,15.541298606854335,-61.298750001283736,981,Tier 3 (Plus dangereux)
10,-21.07195841004573,55.45405063617435,748,Tier 3 (Plus dangereux)
16,42.23541116910445,9.113078975167758,608,Tier 1 (Moins dangereux)
5,4.970972598077958,-52.49265612934172,558,Tier 2 (Danger moyen)
4,-21.788887091130583,166.0020090522046,255,Tier 2 (Danger moyen)
3,-12.797697093877604,45.20457415990728,192,Tier 1 (Moins dangereux)
1,-17.47119637931035,-149.75707299999996,174,Tier 1 (Moins dangereux)
12,-13.298047601128571,-176.18950724433574,14,Tier 1 (Moins dangereux)
